model,horizon,coefficient,std_dev,t_stat,p_value,n_weeks,avg_r2,significant,subperiod,week_start,week_end
Model1_attention_only,future_1w_excess_return,0.0004670899445468363,0.010551181844860088,0.48088409543722027,0.631496919016608,118,0.04396818509026185,False,first_half,2022-01-09 00:00:00,2024-04-07 00:00:00
Model1_attention_only,future_2w_excess_return,0.001512271722785398,0.01594171005378829,1.0304713680175883,0.3049142863743577,118,0.0469439162011429,False,first_half,2022-01-09 00:00:00,2024-04-07 00:00:00
Model1_attention_only,future_4w_excess_return,0.003914679779043923,0.022062366678527606,1.9274589962500015,0.05634667323888731,118,0.041845975796486204,False,first_half,2022-01-09 00:00:00,2024-04-07 00:00:00
Model1_attention_only,future_1w_excess_return,0.0026772330034358117,0.011742072199973535,2.487224026637191,0.01427194632794837,119,0.04320107396392688,True,second_half,2024-04-14 00:00:00,2026-07-19 00:00:00
Model1_attention_only,future_2w_excess_return,0.004776570078642837,0.017747000645669454,2.9360582626683067,0.003997112772442746,119,0.04044372932027416,True,second_half,2024-04-14 00:00:00,2026-07-19 00:00:00
Model1_attention_only,future_4w_excess_return,0.009486754351029832,0.027046817089507125,3.8262643539598127,0.00020959355900851406,119,0.042827655930981985,True,second_half,2024-04-14 00:00:00,2026-07-19 00:00:00
